movie_id,title,release_date
19995,Avatar,2009-12-10
285,Pirates of the Caribbean: At World's End,2007-05-19
206647,Spectre,2015-10-26
49026,The Dark Knight Rises,2012-07-16
49529,John Carter,2012-03-07
559,Spider-Man 3,2007-05-01
38757,Tangled,2010-11-24
99861,Avengers: Age of Ultron,2015-04-22
767,Harry Potter and the Half-Blood Prince,2009-07-07
209112,Batman v Superman: Dawn of Justice,2016-03-23
1452,Superman Returns,2006-06-28
10764,Quantum of Solace,2008-10-30
58,Pirates of the Caribbean: Dead Man's Chest,2006-06-20
57201,The Lone Ranger,2013-07-03
49521,Man of Steel,2013-06-12
2454,The Chronicles of Narnia: Prince Caspian,2008-05-15
24428,The Avengers,2012-04-25
1865,Pirates of the Caribbean: On Stranger Tides,2011-05-14
41154,Men in Black 3,2012-05-23
122917,The Hobbit: The Battle of the Five Armies,2014-12-10
1930,The Amazing Spider-Man,2012-06-27
20662,Robin Hood,2010-05-12
57158,The Hobbit: The Desolation of Smaug,2013-12-11
2268,The Golden Compass,2007-12-04
254,King Kong,2005-12-14
597,Titanic,1997-11-18
271110,Captain America: Civil War,2016-04-27
44833,Battleship,2012-04-11
135397,Jurassic World,2015-06-09
37724,Skyfall,2012-10-25
558,Spider-Man 2,2004-06-25
68721,Iron Man 3,2013-04-18
12155,Alice in Wonderland,2010-03-03
36668,X-Men: The Last Stand,2006-05-24
62211,Monsters University,2013-06-20
8373,Transformers: Revenge of the Fallen,2009-06-19
91314,Transformers: Age of Extinction,2014-06-25
68728,Oz: The Great and Powerful,2013-03-07
102382,The Amazing Spider-Man 2,2014-04-16
20526,TRON: Legacy,2010-12-10
49013,Cars 2,2011-06-11
44912,Green Lantern,2011-06-16
10193,Toy Story 3,2010-06-16
534,Terminator Salvation,2009-05-20
168259,Furious 7,2015-04-01
72190,World War Z,2013-06-20
127585,X-Men: Days of Future Past,2014-05-15
54138,Star Trek Into Darkness,2013-05-05
81005,Jack the Giant Slayer,2013-02-27
64682,The Great Gatsby,2013-05-10
9543,Prince of Persia: The Sands of Time,2010-05-19
68726,Pacific Rim,2013-07-11
38356,Transformers: Dark of the Moon,2011-06-28
217,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21
105864,The Good Dinosaur,2015-11-14
62177,Brave,2012-06-21
188927,Star Trek Beyond,2016-07-07
10681,WALL·E,2008-06-22
5174,Rush Hour 3,2007-08-08
14161,2012,2009-10-10
17979,A Christmas Carol,2009-11-04
76757,Jupiter Ascending,2015-02-04
258489,The Legend of Tarzan,2016-06-29
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07
246655,X-Men: Apocalypse,2016-05-18
155,The Dark Knight,2008-07-16
14160,Up,2009-05-13
15512,Monsters vs Aliens,2009-03-19
1726,Iron Man,2008-04-30
44826,Hugo,2011-11-22
8487,Wild Wild West,1999-06-29
1735,The Mummy: Tomb of the Dragon Emperor,2008-07-01
297761,Suicide Squad,2016-08-02
2698,Evan Almighty,2007-06-09
137113,Edge of Tomorrow,2014-05-27
9804,Waterworld,1995-07-28
14869,G.I. Joe: The Rise of Cobra,2009-08-04
150540,Inside Out,2015-06-09
278927,The Jungle Book,2016-04-07
10138,Iron Man 2,2010-04-28
58595,Snow White and the Huntsman,2012-05-30
102651,Maleficent,2014-05-28
119450,Dawn of the Planet of the Apes,2014-06-26
79698,The Lovers,2015-02-13
64686,47 Ronin,2013-12-06
100402,Captain America: The Winter Soldier,2014-03-20
10192,Shrek Forever After,2010-05-16
158852,Tomorrowland,2015-05-19
177572,Big Hero 6,2014-10-24
82690,Wreck-It Ralph,2012-11-01
5255,The Polar Express,2004-11-10
47933,Independence Day: Resurgence,2016-06-22
10191,How to Train Your Dragon,2010-03-05
296,Terminator 3: Rise of the Machines,2003-07-02
118340,Guardians of the Galaxy,2014-07-30
157336,Interstellar,2014-11-05
27205,Inception,2010-07-14
315011,Shin Godzilla,2016-07-29
49051,The Hobbit: An Unexpected Journey,2012-11-26
9799,The Fast and the Furious,2001-06-22
4922,The Curious Case of Benjamin Button,2008-11-24
49538,X-Men: First Class,2011-05-24
131634,The Hunger Games: Mockingjay - Part 2,2015-11-18
27022,The Sorcerer's Apprentice,2010-07-13
503,Poseidon,2006-05-12
241259,Alice Through the Looking Glass,2016-05-25
810,Shrek the Third,2007-05-17
68735,Warcraft,2016-05-25
87101,Terminator Genisys,2015-06-23
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-08-13
676,Pearl Harbor,2001-05-21
1858,Transformers,2007-06-27
1966,Alexander,2004-11-21
675,Harry Potter and the Order of the Phoenix,2007-06-28
674,Harry Potter and the Goblet of Fire,2005-11-05
8960,Hancock,2008-07-01
6479,I Am Legend,2007-12-14
118,Charlie and the Chocolate Factory,2005-07-13
2062,Ratatouille,2007-06-22
272,Batman Begins,2005-06-10
10527,Madagascar: Escape 2 Africa,2008-10-30
18360,Night at the Museum: Battle of the Smithsonian,2009-05-20
2080,X-Men Origins: Wolverine,2009-04-28
605,The Matrix Revolutions,2003-11-05
109445,Frozen,2013-11-27
604,The Matrix Reloaded,2003-05-15
76338,Thor: The Dark World,2013-10-29
76341,Mad Max: Fury Road,2015-05-13
13448,Angels & Demons,2009-05-13
10195,Thor,2011-04-21
13053,Bolt,2008-11-21
19585,G-Force,2009-07-21
57165,Wrath of the Titans,2012-03-27
62213,Dark Shadows,2012-05-08
177677,Mission: Impossible - Rogue Nation,2015-07-23
7978,The Wolfman,2010-02-11
5559,Bee Movie,2007-10-28
49444,Kung Fu Panda 2,2011-05-25
10196,The Last Airbender,2010-06-30
956,Mission: Impossible III,2006-05-03
117251,White House Down,2013-06-27
50321,Mars Needs Moms,2011-03-09
11619,Flushed Away,2006-10-22
266647,Pan,2015-09-24
82703,Mr. Peabody & Sherman,2014-02-07
652,Troy,2004-05-13
80321,Madagascar 3: Europe's Most Wanted,2012-06-06
36669,Die Another Day,2002-11-17
43074,Ghostbusters,2016-07-14
95,Armageddon,1998-07-01
608,Men in Black II,2002-07-03
2310,Beowulf,2007-11-05
140300,Kung Fu Panda 3,2016-01-23
56292,Mission: Impossible - Ghost Protocol,2011-12-07
81188,Rise of the Guardians,2012-11-21
7552,Fun with Dick and Jane,2005-12-21
616,The Last Samurai,2003-12-05
147441,Exodus: Gods and Kings,2014-12-03
13475,Star Trek,2009-05-06
557,Spider-Man,2002-05-01
82702,How to Train Your Dragon 2,2014-06-12
205584,Gods of Egypt,2016-02-25
10048,Stealth,2005-07-28
13183,Watchmen,2009-03-05
944,Lethal Weapon 4,1998-07-10
1927,Hulk,2003-06-19
72559,G.I. Joe: Retaliation,2013-03-26
7364,Sahara,2005-04-06
2114,Final Fantasy: The Spirits Within,2001-07-02
1771,Captain America: The First Avenger,2011-07-22
36643,The World Is Not Enough,1999-11-08
8619,Master and Commander: The Far Side of the World,2003-11-14
50620,The Twilight Saga: Breaking Dawn - Part 2,2012-11-13
65759,Happy Feet Two,2011-11-17
1724,The Incredible Hulk,2008-06-12
267935,The BFG,2016-06-01
281957,The Revenant,2015-12-25
77950,Turbo,2013-07-11
44896,Rango,2011-03-02
270946,Penguins of Madagascar,2014-11-22
2503,The Bourne Ultimatum,2007-08-03
9502,Kung Fu Panda,2008-06-04
102899,Ant-Man,2015-07-14
101299,The Hunger Games: Catching Fire,2013-11-15
228161,Home,2015-03-18
74,War of the Worlds,2005-06-28
8961,Bad Boys II,2003-07-18
417859,Puss in Boots,2011-10-28
27576,Salt,2010-07-21
86834,Noah,2014-03-20
17578,The Adventures of Tintin,2011-10-25
673,Harry Potter and the Prisoner of Azkaban,2004-05-31
6972,Australia,2008-11-18
82700,After Earth,2013-05-30
10567,Dinosaur,2000-05-19
181533,Night at the Museum: Secret of the Tomb,2014-12-17
38055,Megamind,2010-10-28
671,Harry Potter and the Philosopher's Stone,2001-11-16
49524,R.I.P.D.,2013-07-18
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09
131631,The Hunger Games: Mockingjay - Part 1,2014-11-18
591,The Da Vinci Code,2006-05-17
172385,Rio 2,2014-03-19
36658,X2,2003-04-24
51497,Fast Five,2011-04-20
58574,Sherlock Holmes: A Game of Shadows,2011-11-22
18823,Clash of the Titans,2010-04-01
861,Total Recall,1990-06-01
1911,The 13th Warrior,1999-08-27
49040,The Bourne Legacy,2012-08-08
415,Batman & Robin,1997-06-20
8871,How the Grinch Stole Christmas,2000-11-17
435,The Day After Tomorrow,2004-05-26
955,Mission: Impossible II,2000-05-24
2133,The Perfect Storm,2000-03-15
1979,Fantastic 4: Rise of the Silver Surfer,2007-06-13
87827,Life of Pi,2012-11-20
1250,Ghost Rider,2007-02-16
324668,Jason Bourne,2016-07-27
9471,Charlie's Angels: Full Throttle,2003-06-27
70981,Prometheus,2012-05-30
10996,Stuart Little 2,2002-07-19
68724,Elysium,2013-08-07
2789,The Chronicles of Riddick,2004-06-11
97020,RoboCop,2014-01-30
7459,Speed Racer,2008-05-09
42888,How Do You Know,2010-12-17
37834,Knight and Day,2010-06-15
75612,Oblivion,2013-04-10
1895,Star Wars: Episode III - Revenge of the Sith,2005-05-17
1894,Star Wars: Episode II - Attack of the Clones,2002-05-15
585,"Monsters, Inc.",2001-11-01
76170,The Wolverine,2013-07-23
1893,Star Wars: Episode I - The Phantom Menace,1999-05-19
49519,The Croods,2013-03-20
2395,Asterix at the Olympic Games,2008-01-13
12100,Windtalkers,2002-06-14
290595,The Huntsman: Winter's War,2016-04-06
98566,Teenage Mutant Ninja Turtles,2014-08-07
49047,Gravity,2013-09-27
9619,Dante's Peak,1997-02-07
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,2016-06-01
166424,Fantastic Four,2015-08-05
1593,Night at the Museum,2006-10-20
254128,San Andreas,2015-05-27
714,Tomorrow Never Dies,1997-12-11
2024,The Patriot,2000-06-28
163,Ocean's Twelve,2004-12-09
787,Mr. & Mrs. Smith,2005-06-07
262500,Insurgent,2015-03-18
2567,The Aviator,2004-12-17
38745,Gulliver's Travels,2010-12-25
40805,The Green Hornet,2011-01-12
53182,300: Rise of an Empire,2014-03-05
41513,The Smurfs,2011-07-29
13700,Home on the Range,2004-04-02
262504,Allegiant,2016-03-09
39254,Real Steel,2011-09-28
77931,The Smurfs 2,2013-07-30
1639,Speed 2: Cruise Control,1997-06-13
80274,Ender's Game,2013-10-23
1571,Live Free or Die Hard,2007-06-20
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18
10204,Around the World in 80 Days,2004-06-16
8489,Ali,2001-12-11
10588,The Cat in the Hat,2003-11-21
2048,"I, Robot",2004-07-15
1495,Kingdom of Heaven,2005-05-03
10137,Stuart Little,1999-12-17
10198,The Princess and the Frog,2009-12-08
286217,The Martian,2015-09-30
1635,The Island,2005-07-20
24113,Town & Country,2001-04-27
9679,Gone in Sixty Seconds,2000-06-09
98,Gladiator,2000-05-01
180,Minority Report,2002-06-20
672,Harry Potter and the Chamber of Secrets,2002-11-13
36557,Casino Royale,2006-11-14
869,Planet of the Apes,2001-07-25
280,Terminator 2: Judgment Day,1991-07-01
11322,Public Enemies,2009-07-01
4982,American Gangster,2007-11-02
36955,True Lies,1994-07-14
18487,The Taking of Pelham 1 2 3,2009-06-11
39451,Little Fockers,2010-12-21
27581,The Other Guys,2010-08-06
9268,Eraser,1996-06-21
68718,Django Unchained,2012-12-25
10545,The Hunchback of Notre Dame,1996-06-21
11688,The Emperor's New Groove,2000-12-09
76163,The Expendables 2,2012-08-08
2059,National Treasure,2004-11-19
2486,Eragon,2006-12-14
16523,Where the Wild Things Are,2009-10-16
116711,Epic,2013-05-15
37710,The Tourist,2010-12-08
9946,End of Days,1999-11-24
1372,Blood Diamond,2006-12-07
106646,The Wolf of Wall Street,2013-12-25
414,Batman Forever,1995-05-31
563,Starship Troopers,1997-11-06
83542,Cloud Atlas,2012-10-26
41216,Legend of the Guardians: The Owls of Ga'Hoole,2010-07-10
314,Catwoman,2004-07-22
184315,Hercules,2014-07-23
9016,Treasure Planet,2002-11-26
18162,Land of the Lost,2009-06-05
138103,The Expendables 3,2014-08-04
257088,Point Break,2015-12-03
10214,Son of the Mask,2005-02-18
205775,In the Heart of the Sea,2015-11-20
11692,The Adventures of Pluto Nash,2002-08-15
22972,Green Zone,2010-03-11
227973,The Peanuts Movie,2015-11-05
29193,The Spanish Prisoner,1997-09-08
1734,The Mummy Returns,2001-04-28
3131,Gangs of New York,2002-12-14
76758,The Flowers of War,2011-12-15
9408,Surf's Up,2007-06-08
9890,The Stepford Wives,2004-06-10
855,Black Hawk Down,2001-12-28
77953,The Campaign,2012-08-09
18,The Fifth Element,1997-05-07
37786,Sex and the City 2,2010-05-26
10501,The Road to El Dorado,2000-03-31
57800,Ice Age: Continental Drift,2012-06-26
150689,Cinderella,2015-03-12
7980,The Lovely Bones,2009-12-26
12,Finding Nemo,2003-05-30
122,The Lord of the Rings: The Return of the King,2003-12-01
121,The Lord of the Rings: The Two Towers,2002-12-18
68737,Seventh Son,2014-12-12
1995,Lara Croft: Tomb Raider,2001-06-11
157353,Transcendence,2014-04-16
331,Jurassic Park III,2001-07-18
61791,Rise of the Planet of the Apes,2011-08-03
8204,The Spiderwick Chronicles,2008-02-14
47964,A Good Day to Die Hard,2013-02-06
10733,The Alamo,2004-04-07
9806,The Incredibles,2004-11-05
1408,Cutthroat Island,1995-12-22
32657,Percy Jackson & the Olympians: The Lightning Thief,2010-02-01
607,Men in Black,1997-07-02
863,Toy Story 2,1999-10-30
44048,Unstoppable,2010-11-04
5175,Rush Hour 2,2001-08-03
2655,What Lies Beneath,2000-07-21
22794,Cloudy with a Chance of Meatballs,2009-09-17
8355,Ice Age: Dawn of the Dinosaurs,2009-06-29
116745,The Secret Life of Walter Mitty,2013-12-18
4327,Charlie's Angels,2000-11-02
1422,The Departed,2006-10-05
10674,Mulan,1998-06-18
7446,Tropic Thunder,2008-08-09
65754,The Girl with the Dragon Tattoo,2011-12-14
1572,Die Hard: With a Vengeance,1995-05-19
10528,Sherlock Holmes,2009-12-23
271969,Ben-Hur,2016-08-17
10865,Atlantis: The Lost Empire,2001-06-02
258509,Alvin and the Chipmunks: The Road Chip,2015-12-17
2253,Valkyrie,2008-12-25
10661,You Don't Mess with the Zohan,2008-06-05
257344,Pixels,2015-07-16
644,A.I. Artificial Intelligence,2001-06-29
10756,The Haunted Mansion,2003-11-25
686,Contact,1997-07-11
