movie_id,title,release_date,year,title_url,google_url
19995,Avatar,2009-12-10,2009.0,Avatar,https://www.google.com/search?q=Avatar+2009.0+film
285,Pirates of the Caribbean: At World's End,2007-05-19,2007.0,Pirates%20of%20the%20Caribbean:%20At%20World's%20End,https://www.google.com/search?q=Pirates%20of%20the%20Caribbean:%20At%20World's%20End+2007.0+film
206647,Spectre,2015-10-26,2015.0,Spectre,https://www.google.com/search?q=Spectre+2015.0+film
49026,The Dark Knight Rises,2012-07-16,2012.0,The%20Dark%20Knight%20Rises,https://www.google.com/search?q=The%20Dark%20Knight%20Rises+2012.0+film
49529,John Carter,2012-03-07,2012.0,John%20Carter,https://www.google.com/search?q=John%20Carter+2012.0+film
559,Spider-Man 3,2007-05-01,2007.0,Spider-Man%203,https://www.google.com/search?q=Spider-Man%203+2007.0+film
38757,Tangled,2010-11-24,2010.0,Tangled,https://www.google.com/search?q=Tangled+2010.0+film
99861,Avengers: Age of Ultron,2015-04-22,2015.0,Avengers:%20Age%20of%20Ultron,https://www.google.com/search?q=Avengers:%20Age%20of%20Ultron+2015.0+film
767,Harry Potter and the Half-Blood Prince,2009-07-07,2009.0,Harry%20Potter%20and%20the%20Half-Blood%20Prince,https://www.google.com/search?q=Harry%20Potter%20and%20the%20Half-Blood%20Prince+2009.0+film
209112,Batman v Superman: Dawn of Justice,2016-03-23,2016.0,Batman%20v%20Superman:%20Dawn%20of%20Justice,https://www.google.com/search?q=Batman%20v%20Superman:%20Dawn%20of%20Justice+2016.0+film
1452,Superman Returns,2006-06-28,2006.0,Superman%20Returns,https://www.google.com/search?q=Superman%20Returns+2006.0+film
10764,Quantum of Solace,2008-10-30,2008.0,Quantum%20of%20Solace,https://www.google.com/search?q=Quantum%20of%20Solace+2008.0+film
58,Pirates of the Caribbean: Dead Man's Chest,2006-06-20,2006.0,Pirates%20of%20the%20Caribbean:%20Dead%20Man's%20Chest,https://www.google.com/search?q=Pirates%20of%20the%20Caribbean:%20Dead%20Man's%20Chest+2006.0+film
57201,The Lone Ranger,2013-07-03,2013.0,The%20Lone%20Ranger,https://www.google.com/search?q=The%20Lone%20Ranger+2013.0+film
49521,Man of Steel,2013-06-12,2013.0,Man%20of%20Steel,https://www.google.com/search?q=Man%20of%20Steel+2013.0+film
2454,The Chronicles of Narnia: Prince Caspian,2008-05-15,2008.0,The%20Chronicles%20of%20Narnia:%20Prince%20Caspian,https://www.google.com/search?q=The%20Chronicles%20of%20Narnia:%20Prince%20Caspian+2008.0+film
24428,The Avengers,2012-04-25,2012.0,The%20Avengers,https://www.google.com/search?q=The%20Avengers+2012.0+film
1865,Pirates of the Caribbean: On Stranger Tides,2011-05-14,2011.0,Pirates%20of%20the%20Caribbean:%20On%20Stranger%20Tides,https://www.google.com/search?q=Pirates%20of%20the%20Caribbean:%20On%20Stranger%20Tides+2011.0+film
41154,Men in Black 3,2012-05-23,2012.0,Men%20in%20Black%203,https://www.google.com/search?q=Men%20in%20Black%203+2012.0+film
122917,The Hobbit: The Battle of the Five Armies,2014-12-10,2014.0,The%20Hobbit:%20The%20Battle%20of%20the%20Five%20Armies,https://www.google.com/search?q=The%20Hobbit:%20The%20Battle%20of%20the%20Five%20Armies+2014.0+film
1930,The Amazing Spider-Man,2012-06-27,2012.0,The%20Amazing%20Spider-Man,https://www.google.com/search?q=The%20Amazing%20Spider-Man+2012.0+film
20662,Robin Hood,2010-05-12,2010.0,Robin%20Hood,https://www.google.com/search?q=Robin%20Hood+2010.0+film
57158,The Hobbit: The Desolation of Smaug,2013-12-11,2013.0,The%20Hobbit:%20The%20Desolation%20of%20Smaug,https://www.google.com/search?q=The%20Hobbit:%20The%20Desolation%20of%20Smaug+2013.0+film
2268,The Golden Compass,2007-12-04,2007.0,The%20Golden%20Compass,https://www.google.com/search?q=The%20Golden%20Compass+2007.0+film
254,King Kong,2005-12-14,2005.0,King%20Kong,https://www.google.com/search?q=King%20Kong+2005.0+film
597,Titanic,1997-11-18,1997.0,Titanic,https://www.google.com/search?q=Titanic+1997.0+film
271110,Captain America: Civil War,2016-04-27,2016.0,Captain%20America:%20Civil%20War,https://www.google.com/search?q=Captain%20America:%20Civil%20War+2016.0+film
44833,Battleship,2012-04-11,2012.0,Battleship,https://www.google.com/search?q=Battleship+2012.0+film
135397,Jurassic World,2015-06-09,2015.0,Jurassic%20World,https://www.google.com/search?q=Jurassic%20World+2015.0+film
37724,Skyfall,2012-10-25,2012.0,Skyfall,https://www.google.com/search?q=Skyfall+2012.0+film
558,Spider-Man 2,2004-06-25,2004.0,Spider-Man%202,https://www.google.com/search?q=Spider-Man%202+2004.0+film
68721,Iron Man 3,2013-04-18,2013.0,Iron%20Man%203,https://www.google.com/search?q=Iron%20Man%203+2013.0+film
12155,Alice in Wonderland,2010-03-03,2010.0,Alice%20in%20Wonderland,https://www.google.com/search?q=Alice%20in%20Wonderland+2010.0+film
36668,X-Men: The Last Stand,2006-05-24,2006.0,X-Men:%20The%20Last%20Stand,https://www.google.com/search?q=X-Men:%20The%20Last%20Stand+2006.0+film
62211,Monsters University,2013-06-20,2013.0,Monsters%20University,https://www.google.com/search?q=Monsters%20University+2013.0+film
8373,Transformers: Revenge of the Fallen,2009-06-19,2009.0,Transformers:%20Revenge%20of%20the%20Fallen,https://www.google.com/search?q=Transformers:%20Revenge%20of%20the%20Fallen+2009.0+film
91314,Transformers: Age of Extinction,2014-06-25,2014.0,Transformers:%20Age%20of%20Extinction,https://www.google.com/search?q=Transformers:%20Age%20of%20Extinction+2014.0+film
68728,Oz: The Great and Powerful,2013-03-07,2013.0,Oz:%20The%20Great%20and%20Powerful,https://www.google.com/search?q=Oz:%20The%20Great%20and%20Powerful+2013.0+film
102382,The Amazing Spider-Man 2,2014-04-16,2014.0,The%20Amazing%20Spider-Man%202,https://www.google.com/search?q=The%20Amazing%20Spider-Man%202+2014.0+film
20526,TRON: Legacy,2010-12-10,2010.0,TRON:%20Legacy,https://www.google.com/search?q=TRON:%20Legacy+2010.0+film
49013,Cars 2,2011-06-11,2011.0,Cars%202,https://www.google.com/search?q=Cars%202+2011.0+film
44912,Green Lantern,2011-06-16,2011.0,Green%20Lantern,https://www.google.com/search?q=Green%20Lantern+2011.0+film
10193,Toy Story 3,2010-06-16,2010.0,Toy%20Story%203,https://www.google.com/search?q=Toy%20Story%203+2010.0+film
534,Terminator Salvation,2009-05-20,2009.0,Terminator%20Salvation,https://www.google.com/search?q=Terminator%20Salvation+2009.0+film
168259,Furious 7,2015-04-01,2015.0,Furious%207,https://www.google.com/search?q=Furious%207+2015.0+film
72190,World War Z,2013-06-20,2013.0,World%20War%20Z,https://www.google.com/search?q=World%20War%20Z+2013.0+film
127585,X-Men: Days of Future Past,2014-05-15,2014.0,X-Men:%20Days%20of%20Future%20Past,https://www.google.com/search?q=X-Men:%20Days%20of%20Future%20Past+2014.0+film
